abserr, f-s, errest, nofun, flag
1, 0.000406864, 1.63514e-007, 33, 0
0.1, 0.000406864, 1.63514e-007, 33, 0
0.01, 0.000406864, 1.63514e-007, 33, 0
0.001, 0.000406864, 1.63514e-007, 33, 0
0.0001, 0.000406864, 1.63514e-007, 33, 0
1e-005, 0.000406864, 1.63514e-007, 33, 0
1e-006, 0.000406864, 1.63514e-007, 33, 0
1e-007, 0.000418669, 3.35302e-008, 49, 0
1e-008, 0.000416474, 3.09815e-009, 81, 0
1e-009, 0.000416565, 1.5542e-009, 97, 0
1e-010, 0.000416671, 2.06706e-010, 161, 0
1e-011, 0.00041666, 2.59029e-011, 225, 0
1e-012, 0.000416661, 2.05064e-012, 337, 0
1e-013, 0.000416661, 1.53127e-013, 449, 0
1e-014, 0.000416661, 2.81522e-014, 529, 0
1e-015, 0.000416661, 3.96028e-015, 625, 0
1e-016, 0.000416661, 4.03872e-016, 721, 0
1e-017, 0.000416661, 3.99175e-017, 833, 0
1e-018, 0.000416661, 2.41333e-018, 961, 0
1e-019, 0.000416661, 2.98924e-019, 1073, 0
1e-020, 0.000416661, 1.23894e-019, 1233, 0
1e-021, 0.000416661, 1.99671e-019, 1489, 0
1e-022, 0.000416661, 1.59398e-019, 1841, 0
1e-023, 0.000416661, 1.35658e-019, 2065, 0
1e-024, 0.000416661, 1.08526e-019, 2145, 0
1e-025, 0.000416661, 0, 2209, 0
1e-026, 0.000416661, 0, 2209, 0
1e-027, 0.000416661, 0, 2209, 0
1e-028, 0.000416661, 0, 2209, 0
1e-029, 0.000416661, 0, 2209, 0
1e-030, 0.000416661, 0, 2209, 0
1e-031, 0.000416661, 0, 2209, 0
1e-032, 0.000416661, 0, 2209, 0
1e-033, 0.000416661, 0, 2209, 0
1e-034, 0.000416661, 0, 2209, 0
